ChIP-seq,DNase-seq,polyA RNA-seq,shRNA RNA-seq,total RNA-seq,eCLIP,DNAme array,small RNA-seq,WGBS,microRNA-seq,ATAC-seq,RNA microarray,RAMPAGE,RNA Bind-n-Seq,genotyping array,CAGE,microRNA counts,siRNA RNA-seq,Repli-seq,RRBS,...and 25more
K562,669,10,19,268,11,245,3,7,1,2,,10,1,,2,9,1,50,6,1
HepG2,357,3,11,255,5,210,3,3,2,,,6,,,2,6,1,,6,2
A549,374,14,27,,,,2,9,1,,5,2,,,2,3,,,2,1
GM12878,226,2,13,,3,,3,6,1,1,,7,1,,2,6,1,,6,2
HEK293,257,,,,,,2,,,,,1,,,2,,,,,2
MCF-7,186,8,4,,,,2,7,,1,,7,,,2,3,1,2,6,5
H1-hESC,146,3,9,,1,,2,4,2,3,,1,,,1,4,1,,,1
HeLa-S3,101,4,5,,,,2,3,1,,,4,,,2,6,,,6,1
SK-N-SH,71,2,5,,,,3,10,1,,,1,,,2,4,,,6,2
IMR-90,55,2,3,,2,,2,9,2,1,,,,,2,3,,,6,1
MEL cell line,75,3,4,,2,,,,,,,,,,,,,,,
S2-DRSC,6,1,1,,1,,,8,,,,,,,,1,,59,,
CH12.LX,57,1,1,,2,,,,,,,,,,,,,,,
HCT116,50,1,1,,,,2,,,1,,1,,,,,1,,,1
H9,37,7,,,,,,,1,,,1,,,,,,,,
S2R+,,,3,,1,,,6,,,,,,,,,,,,
Ishikawa,27,4,4,,,,1,,,,,,,,,,,,,1
G1E-ER4,23,1,7,,2,,,,,,1,,,,,,,,,
GM23338,25,1,1,,1,,1,1,,1,,,1,,,,1,,,
Panc1,21,1,1,,,,3,,,,,1,,,3,,,,,2
GM23248,16,1,1,,1,,1,1,2,1,,,1,,1,,1,,,
Kc167,10,,2,,6,,,8,,,,,,,,2,,,,
ML-DmBG3-c2,,,1,,12,,,8,,,,,,,,4,,,,
MCF 10A,16,3,,,,,3,,,,,,,,3,,,,,2
T47D,11,3,4,,,,1,,,,,,,,1,,,,2,2
GM12891,14,1,1,,,,2,,,,,1,,,1,,,,,1
SK-N-MC,14,1,,,,,2,,,,,1,,,1,,,,2,1
HEK293T,20,1,,,,,,,,,,1,,,,,,,,
BJ,5,1,1,,,,1,1,,,,1,,,1,1,,,6,1
GM12892,12,1,1,,,,2,,,,,,,,1,,,,,1
LNCaP clone FGC,5,3,,,,,2,,,,,3,,,2,,,,,3
OCI-LY7,13,1,,,1,,1,1,1,,,,1,,1,,,,,
PC-3,17,1,,,1,,,,,,,,1,,,,,,,
H7-hESC,10,2,,,1,,1,,,,,2,1,,1,,,,,
AG04450,6,1,1,,,,3,1,,,,1,,,2,1,,,,1
GM06990,5,1,,,,,1,,,,,1,,,1,,,,6,1
MM.1S,17,1,,,,,,,,,,,,,,,,,,
NT2/D1,10,1,,,,,2,,,,,1,,,2,,,,,2
PC-9,17,1,,,,,,,,,,,,,,,,,,
C2C12,16,,1,,,,,,,,,,,,,,,,,
ES-E14,15,1,,,1,,,,,,,,,,,,,,,
G1E,11,1,2,,2,,,,,,1,,,,,,,,,
Karpas-422,13,1,,,1,,,1,,,,,1,,,,,,,
OCI-LY1,16,,,,,,,,,,,,,,,,,,,
DND-41,15,,,,,,,,,,,,,,,,,,,
DOHH2,15,,,,,,,,,,,,,,,,,,,
Loucy,15,,,,,,,,,,,,,,,,,,,
NCI-H460,,2,2,,1,,1,2,,,,,3,,1,,,,2,
SU-DHL-6,15,,,,,,,,,,,,,,,,,,,
HL-60,8,1,,,,,1,,,1,,1,,,1,,,,,1
NB4,7,1,,,,,1,,,,,1,,,2,,,,,1
OCI-LY3,14,,,,,,,,,,,,,,,,,,,
PFSK-1,8,,1,,,,2,,,,,,,,2,,,,,1
SK-MEL-5,,2,2,,1,,1,2,,,,,3,,1,,,,,
SK-N-DZ,,2,2,,1,,1,2,,,,,3,,1,,,,,
ES-Bruce4,11,,1,,,,,,,,,,,,,,,,,
HT1080,,1,2,,1,,1,1,,,,,3,,1,,,,,
HUES64,9,,2,,,,,,1,,,,,,,,,,,
KMS-11,12,,,,,,,,,,,,,,,,,,,
ML-DmD17-c3,,,6,,6,,,,,,,,,,,,,,,
AG09319,3,1,,,,,3,,,,,1,,,2,,,,,1
Caco-2,5,1,,,,,1,,,,,1,,,1,,,,,1
GM19239,1,1,,,,,1,,,,,,,,1,,,,,1
A673,9,1,,,,,,,,,,,,,,,,,,
BE2C,3,1,1,,,,2,,,,,1,,,1,,,,,1
CME-W1-Cl.8+,,,1,,1,,,8,,,,,,,,,,,,
NCI-H929,10,,,,,,,,,,,,,,,,,,,
iPS DF 19.11,8,1,,,,,,,1,,,,,,,,,,,
iPS DF 6.9,8,1,,,,,,,1,,,,,,,,,,,
iPS-20b,10,,,,,,,,,,,,,,,,,,,
AG04449,3,1,,,,,2,,,,,1,,,1,,,,,1
AG09309,3,1,,,,,2,,,,,1,,,1,,,,,1
AG10803,3,1,,,,,2,,,,,1,,,1,,,,,1
E14TG2a.4,9,,,,,,,,,,,,,,,,,,,
GM19240,1,1,,,,,,,,,,1,,,,,,,,1
HUES48,9,,,,,,,,,,,,,,,,,,,
HUES6,9,,,,,,,,,,,,,,,,,,,
Jurkat clone E61,2,1,1,,,,1,,,,,1,,,1,,,,,1
UCSF-4,7,,1,,,,,,,1,,,,,,,,,,
WI38,5,2,,,,,,,,,,2,,,,,,,,
ACC112,8,,,,,,,,,,,,,,,,,,,
CMK,,1,,,,,3,,,,,1,,,2,,,,,1
GM12801,2,,,,,,,,,,,,,,,,,,6,
iPS-15b,8,,,,,,,,,,,,,,,,,,,
iPS-18a,8,,,,,,,,,,,,,,,,,,,
BG02,,,,,,,,,,,,,,,,,,,6,
Caki2,,1,,,1,,1,,,,,,,,1,,,,2,
G401,,1,,,1,,1,,,,,,,,1,,,,2,
GM19238,1,1,,,,,,,,,,1,,,,,,,,
SJCRH30,,2,,,1,,1,,,,,,1,,1,,,,,
U-87 MG,1,,1,,,,2,,,,,,,,2,,,,,1
22Rv1,6,,,,,,,,,,,,,,,,,,,
C4-2B,4,,,,,,,,,,,,,,,,,2,,
GM12812,,,,,,,,,,,,,,,,,,,6,
GM12813,,,,,,,,,,,,,,,,,,,6,
H54,3,1,,,,,,,,,,1,,,,,,,,
LNCAP,3,,,,,,,,,,,,,,,,,,2,
RPMI-7951,,1,,,1,,1,,,,,,1,,1,,,,,
urothelium cell line,,2,,,,,,,,,,2,,,,,,,,
A172,,1,,,1,,1,,,,,,1,,1,,,,,
D721Med,2,1,,,,,,,,,,1,,,,,,,,
Daoy,,1,,,1,,1,,,,,,1,,1,,,,,
ES-I3,5,,,,,,,,,,,,,,,,,,,
GM12864,3,1,,,,,,,,,,1,,,,,,,,
GM12865,3,1,,,,,,,,,,1,,,,,,,,
H4,,1,,,1,,1,,,,,,1,,1,,,,,
HFF-Myc,3,1,,,,,,,,,,1,,,,,,,,
HTR-8/SVneo,,1,,,,,,,,,,1,,,1,,,,,1
KOPT-K1,5,,,,,,,,,,,,,,,,,,,
M059J,,1,,,1,,1,,,,,,1,,1,,,,,
RWPE1,4,1,,,,,,,,,,,,,,,,,,
SJSA1,,1,,,1,,1,,,,,,1,,1,,,,,
WERI-Rb-1,3,1,,,,,,,,,,1,,,,,,,,
GM10847,4,,,,,,,,,,,,,,,,,,,
GM15510,4,,,,,,,,,,,,,,,,,,,
GM18505,4,,,,,,,,,,,,,,,,,,,
GM18526,4,,,,,,,,,,,,,,,,,,,
GM18951,4,,,,,,,,,,,,,,,,,,,
GM19099,4,,,,,,,,,,,,,,,,,,,
GM19193,4,,,,,,,,,,,,,,,,,,,
HT-29,,1,,,1,,,1,,,,,1,,,,,,,
LHCN-M2,,1,1,,1,,,,,,,,1,,,,,,,
A375,,,,,1,,,1,,,,,1,,,,,,,
GM03348,,3,,,,,,,,,,,,,,,,,,
GM08714,3,,,,,,,,,,,,,,,,,,,
GM10248,2,1,,,,,,,,,,,,,,,,,,
GM10266,2,1,,,,,,,,,,,,,,,,,,
GM12875,3,,,,,,,,,,,,,,,,,,,
GM13976,2,1,,,,,,,,,,,,,,,,,,
GM13977,2,1,,,,,,,,,,,,,,,,,,
GM18507,,1,,,,,,,,,,1,,,,,,,,
GM20000,2,1,,,,,,,,,,,,,,,,,,
HGPS cell,,,,,,,1,,,,,1,,,,,,,,1
MG63,,1,,,1,,,,,,,,,,1,,,,,
OVCAR3,,,,,,,1,,,,,,,,1,,,,,1
Patski,,1,1,,,,,,,,,,,,,,,,,
RWPE2,3,,,,,,,,,,,,,,,,,,,
SH-SY5Y,3,,,,,,,,,,,,,,,,,,,
VCaP,3,,,,,,,,,,,,,,,,,,,
ZHBTc4-mESC,,3,,,,,,,,,,,,,,,,,,
hTERT-HM,,,,,,,,,,,,1,,,1,,,,,1
iPS-18c,3,,,,,,,,,,,,,,,,,,,
1182-4H,,,1,,1,,,,,,,,,,,,,,,
416B,,1,1,,,,,,,,,,,,,,,,,
8988T,,1,,,,,,,,,,1,,,,,,,,
A20,,1,1,,,,,,,,,,,,,,,,,
ACHN,,1,,,,,,,,,,,,,,,,,,
AG08395,,1,,,,,,,,,,1,,,,,,,,
AG08396,,1,,,,,,,,,,1,,,,,,,,
AG08470,,,,,,,,,,,,1,,,,,,,,1
AG20443,,1,,,,,,,,,,1,,,,,,,,
C3H10T1/2,,,2,,,,,,,,,,,,,,,,,
CME-L1,,,1,,1,,,,,,,,,,,,,,,
CME-W2,,,1,,1,,,,,,,,,,,,,,,
COLO829,,1,,,,,,,,,,1,,,,,,,,
CWRU1,,1,,,,,,,,,,1,,,,,,,,
GM12866,2,,,,,,,,,,,,,,,,,,,
GM12872,2,,,,,,,,,,,,,,,,,,,
GM12873,2,,,,,,,,,,,,,,,,,,,
GM12874,2,,,,,,,,,,,,,,,,,,,
GM2,,,1,,1,,,,,,,,,,,,,,,
HPDE6-E6E7,,1,,,,,,,,,,1,,,,,,,,
HuH-7,,1,,,,,,,,,,1,,,,,,,,
HuH-7.5,,1,,,,,,,,,,1,,,,,,,,
ML-DmBG1-c1,,,1,,1,,,,,,,,,,,,,,,
ML-DmBG2-c2,,,1,,1,,,,,,,,,,,,,,,
ML-DmD11,,,1,,1,,,,,,,,,,,,,,,
ML-DmD16-c3,,,1,,1,,,,,,,,,,,,,,,
ML-DmD20-c5,,,1,,1,,,,,,,,,,,,,,,
ML-DmD21,,,1,,1,,,,,,,,,,,,,,,
ML-DmD32,,,1,,1,,,,,,,,,,,,,,,
ML-DmD4-c1,,,1,,1,,,,,,,,,,,,,,,
ML-DmD8,,,1,,1,,,,,,,,,,,,,,,
ML-DmD9,,,1,,1,,,,,,,,,,,,,,,
MN1,,2,,,,,,,,,,,,,,,,,,
NAMALWA,,2,,,,,,,,,,,,,,,,,,
NIH3T3,,1,1,,,,,,,,,,,,,,,,,
R1,,2,,,,,,,,,,,,,,,,,,
RCC 7860,,1,,,,,,,,,,,,,,,,,,
Raji,2,,,,,,,,,,,,,,,,,,,
S1,,,1,,1,,,,,,,,,,,,,,,
S3,,,1,,1,,,,,,,,,,,,,,,
Sg4,,,1,,1,,,,,,,,,,,,,,,
THP-1,,,,,,,,,,,,,,,,,,,,
UCH-1,,,,,,,,,,,,1,,,,,,,,1
WW6,,2,,,,,,,,,,,,,,,,,,
iPS-11a,2,,,,,,,,,,,,,,,,,,,
iPS-NIHi11,,1,,,,,,,,,,1,,,,,,,,
